"code","iso","country","EBI.raw.2016","EBI.raw.2017","EBI.raw.2018","EBI.raw.2019"
276,"DEU","Germany","79.5","79.6","79.3","79.3"
288,"GHA","Ghana","57","58","58.4","60.4"
300,"GRC","Greece","66.9","67.1","67.1","67.4"
304,"GRL","Greenland",NA,NA,NA,NA
308,"GRD","Grenada","53.6","53.4","53.3","53.4"
320,"GTM","Guatemala","61.7","62","61.5","62.5"
831,"GGY","Guernsey",NA,NA,NA,NA
324,"GIN","Guinea","44.3","46","46.7","49.3"
624,"GNB","Guinea-Bissau","40.4","42.8","42.9","43.2"
328,"GUY","Guyana","51","56.4","56.8","55.6"
332,"HTI","Haiti","37.7","37.7","37.7","37.9"
336,"VAT","Holy See",NA,NA,NA,NA
340,"HND","Honduras","56.1","55.7","55.9","56"
344,"HKG","Hong Kong","84.3","84.8","85","85.1"
348,"HUN","Hungary","71.1","71.4","72.7","73.2"
352,"ISL","Iceland","79","79","79","79"
356,"IND","India","54.5","55.9","60.9","67.5"
360,"IDN","Indonesia","62.1","64.7","66.9","68.2"
364,"IRN","Iran","55.4","55.7","55.7","58.6"
368,"IRQ","Iraq","42.9","44.1","44.6","44.7"
372,"IRL","Ireland","79.8","80.1","80.1","79.6"
833,"IMN","Isle of Man",NA,NA,NA,NA
376,"ISR","Israel","73","74.2","74.3","75"
380,"ITA","Italy","71.7","71.8","73.2","73"
388,"JAM","Jamaica","66.2","67.3","67.7","68.3"
392,"JPN","Japan","77.5","77.9","78","78"
832,"JEY","Jersey",NA,NA,NA,NA
400,"JOR","Jordan","56.7","57","59.9","61.3"
398,"KAZ","Kazakhstan","70.9","74.8","76.9","78"
404,"KEN","Kenya","58","62.8","65.4","71"
296,"KIR","Kiribati","45.4","46.7","46.2","46.8"
689,"XKX","Kosovo","63","64.9","70.5","71"
414,"KWT","Kuwait","60.7","60","61.8","62.6"
417,"KGZ","Kyrgyzstan","61.3","61.3","62.4","65.4"
418,"LAO","Laos","48.2","49.1","50","49.8"
428,"LVA","Latvia","79.1","80.6","80","80.3"
422,"LBN","Lebanon","54.7","54.5","54.4","54.4"
426,"LSO","Lesotho","55.2","58","58.6","58.7"
430,"LBR","Liberia","40","40","43.6","43.5"
434,"LBY","Libya","32.6","32.5","32.5","32.7"
438,"LIE","Liechtenstein",NA,NA,NA,NA
440,"LTU","Lithuania","79","79.2","80.6","81"
442,"LUX","Luxembourg","69.2","69.2","69.6","69.6"
446,"MAC","Macao",NA,NA,NA,NA
450,"MDG","Madagascar","41.9","42.7","46.4","47"
454,"MWI","Malawi","49.7","53.2","59.5","60.4"
458,"MYS","Malaysia","78.6","78.3","78.8","81.3"
462,"MDV","Maldives","52.4","52.4","53.2","53.3"
466,"MLI","Mali","50.3","52.6","52.9","53.1"
470,"MLT","Malta","62.3","64.8","65.2","65.5"
584,"MHL","Marshall Islands","50.6","50.9","50.9","50.9"
478,"MRT","Mauritania","43.8","46.9","48.4","49.4"
480,"MUS","Mauritius","76","76.5","78.9","80.3"
484,"MEX","Mexico","71.6","72.4","72.5","72.3"
583,"FSM","Micronesia","48.1","48.1","48.1","48.1"
498,"MDA","Moldova","71.4","72.5","72.7","73.1"
492,"MCO","Monaco",NA,NA,NA,NA
496,"MNG","Mongolia","65.3","66.1","67.4","67.7"
499,"MNE","Montenegro","70.6","71.2","73.8","73.7"
504,"MAR","Morocco","67.4","69.2","69.2","71.7"
508,"MOZ","Mozambique","52.8","52.1","52.8","54.6"
104,"MMR","Myanmar","42.1","42.7","43","43.5"
516,"NAM","Namibia","60","60.1","61.1","61.4"
520,"NRU","Nauru",NA,NA,NA,NA
524,"NPL","Nepal","59.7","58","60","59.7"
528,"NLD","Netherlands","75.5","75.6","76.1","76.1"
540,"NCL","New Caledonia",NA,NA,NA,NA
554,"NZL","New Zealand","87.1","87.2","87","87"
558,"NIC","Nicaragua","54.1","54.2","54.2","54.5"
562,"NER","Niger","46.3","49.3","51.2","52.3"
566,"NGA","Nigeria","48.4","48.5","52","53.4"
570,"NIU","Niue",NA,NA,NA,NA
408,"PRK","North Korea",NA,NA,NA,NA
807,"MKD","North Macedonia","77.9","80.6","80.3","80.7"
578,"NOR","Norway","81.8","82.4","82.7","82.9"
512,"OMN","Oman","66.3","68.1","68.6","68.8"
586,"PAK","Pakistan","50.4","52.5","53","55.5"
585,"PLW","Palau","53.1","53.2","53.7","53.7"
591,"PAN","Panama","64.7","64.7","66.5","66.9"
598,"PNG","Papua New Guinea","56","59.3","59.4","59.4"
600,"PRY","Paraguay","58.1","58","58","58.5"
604,"PER","Peru","67.2","67.5","67.8","68.3"
608,"PHL","Philippines","58.2","59.3","59.3","60.9"
616,"POL","Poland","76.9","77.7","77.9","76.9"
620,"PRT","Portugal","76.4","76.7","76.5","76.4"
634,"QAT","Qatar","66.5","65.4","66","66.7"
178,"COG","Republic of Congo","38.9","38.5","37.9","38.2"
642,"ROU","Romania","72.7","72.9","73","72.5"
643,"RUS","Russia","74.1","75.3","76.5","77.4"
646,"RWA","Rwanda","67.1","69","71.1","75.4"
652,"BLM","Saint Barthelemy",NA,NA,NA,NA
659,"KNA","Saint Kitts and Nevis","55.6","54.4","54.6","54.6"
662,"LCA","Saint Lucia","63.5","63.5","63.6","63.6"
670,"VCT","Saint Vincent and the Grenadines","57.1","57","57","57"
882,"WSM","Samoa","60.2","60","62.1","62.1"
674,"SMR","San Marino","61.4","61.9","61.9","64.2"
678,"STP","Sao Tome and Principe",NA,NA,NA,NA
682,"SAU","Saudi Arabia","59.2","59.4","62.1","63.8"
686,"SEN","Senegal","49.6","50.3","54","54.4"
688,"SRB","Serbia","70","73.3","73.8","73.9"
690,"SYC","Seychelles","59","60.5","61.5","61.5"
694,"SLE","Sierra Leone","46.9","47.2","47.1","47.2"
702,"SGP","Singapore","84.9","85.4","85.6","85.8"
534,"SXM","Sint Maarten",NA,NA,NA,NA
703,"SVK","Slovakia","74.8","75","75.2","75.4"
705,"SVN","Slovenia","74.7","75.4","76.4","76.4"
90,"SLB","Solomon Islands","54.7","55.1","54.9","55.2"
706,"SOM","Somalia","20.2","20.3","20","20"
710,"ZAF","South Africa","66.2","65.4","65.3","66.7"
410,"KOR","South Korea","83.1","84","84","84"
728,"SSD","South Sudan","32.8","32.7","31.6","33.6"
724,"ESP","Spain","75.9","77.6","77.6","77.7"
144,"LKA","Sri Lanka","59.2","59.8","60","61.8"
275,"PSE","State of Palestine","54.2","55.5","59.3","59.7"
729,"SDN","Sudan","45.5","44.8","45","48"
740,"SUR","Suriname","46.4","47.4","47.4","47.4"
752,"SWE","Sweden","81.6","82.2","82.2","82"
756,"CHE","Switzerland","76.4","76.4","76.6","76.6"
760,"SYR","Syria","43","41.4","41.4","41.5"
158,"TWN","Taiwan","81.3","80.3","80.7","81"
762,"TJK","Tajikistan","51.8","53.4","54.3","55.4"
834,"TZA","Tanzania","49.7","53.9","54","54.3"
764,"THA","Thailand","71.9","72.8","78.5","79.5"
626,"TLS","Timor-Leste","39.3","38.2","38","39.7"
768,"TGO","Togo","46.9","48.1","48.8","55.3"
776,"TON","Tonga","61.3","61.1","61.6","61.7"
780,"TTO","Trinidad and Tobago","61.4","61.3","61.2","61"
788,"TUN","Tunisia","64.6","65.5","65.3","67.2"
792,"TUR","Turkey","69.1","69.4","70.9","75.3"
795,"TKM","Turkmenistan",NA,NA,NA,NA
796,"TCA","Turks and Caicos Islands",NA,NA,NA,NA
798,"TUV","Tuvalu",NA,NA,NA,NA
800,"UGA","Uganda","56.6","57.3","57.9","58.4"
804,"UKR","Ukraine","64.2","65.4","68.1","69.1"
784,"ARE","United Arab Emirates","76.3","77.4","79.3","81.6"
826,"GBR","United Kingdom","83.3","83.3","83.2","83.6"
840,"USA","United States of America","83.6","83.6","83.6","83.6"
858,"URY","Uruguay","60.2","60.7","61","61.4"
860,"UZB","Uzbekistan","61.7","62.1","66.6","67.8"
548,"VUT","Vanuatu","59.3","60.9","60.9","60.7"
862,"VEN","Venezuela","34.1","31.1","30","32.1"
704,"VNM","Viet Nam","62.6","65.3","67","68.6"
876,"WLF","Wallis and Futuna Islands",NA,NA,NA,NA
732,"ESH","Western Sahara",NA,NA,NA,NA
887,"YEM","Yemen","38.4","31.2","31.3","30.7"
894,"ZMB","Zambia","60.5","60.3","64.2","65.7"
716,"ZWE","Zimbabwe","47.8","47.8","48.6","50.5"
