"code","iso","country","PMD.raw.1990","PMD.raw.1991","PMD.raw.1992","PMD.raw.1993","PMD.raw.1994","PMD.raw.1995","PMD.raw.1996","PMD.raw.1997","PMD.raw.1998","PMD.raw.1999","PMD.raw.2000","PMD.raw.2001","PMD.raw.2002","PMD.raw.2003","PMD.raw.2004","PMD.raw.2005","PMD.raw.2006","PMD.raw.2007","PMD.raw.2008","PMD.raw.2009","PMD.raw.2010","PMD.raw.2011","PMD.raw.2012","PMD.raw.2013","PMD.raw.2014","PMD.raw.2015","PMD.raw.2016","PMD.raw.2017","PMD.raw.2018","PMD.raw.2019"
232,"ERI","Eritrea",866.4067,NA,NA,NA,NA,NA,NA,NA,NA,NA,1153.545,NA,NA,NA,NA,NA,NA,NA,NA,NA,1193.882,NA,NA,NA,NA,1261.645,NA,NA,NA,1386.758
233,"EST","Estonia",838.6404,NA,NA,NA,NA,NA,NA,NA,NA,NA,607.1138,NA,NA,NA,NA,NA,NA,NA,NA,NA,332.6718,NA,NA,NA,NA,173.283,NA,NA,NA,137.9108
748,"SWZ","Eswatini",989.0698,NA,NA,NA,NA,NA,NA,NA,NA,NA,1425.413,NA,NA,NA,NA,NA,NA,NA,NA,NA,1822.319,NA,NA,NA,NA,1704.902,NA,NA,NA,1701.306
231,"ETH","Ethiopia",420.6159,NA,NA,NA,NA,NA,NA,NA,NA,NA,391.8014,NA,NA,NA,NA,NA,NA,NA,NA,NA,428.2472,NA,NA,NA,NA,474.2205,NA,NA,NA,510.7255
234,"FRO","Faeroe Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
238,"FLK","Falkland Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
242,"FJI","Fiji",640.9018,NA,NA,NA,NA,NA,NA,NA,NA,NA,1251.044,NA,NA,NA,NA,NA,NA,NA,NA,NA,1205.735,NA,NA,NA,NA,1227.751,NA,NA,NA,1312.777
246,"FIN","Finland",445.6872,NA,NA,NA,NA,NA,NA,NA,NA,NA,238.9164,NA,NA,NA,NA,NA,NA,NA,NA,NA,160.6449,NA,NA,NA,NA,77.7116,NA,NA,NA,75.4755
250,"FRA","France",594.857,NA,NA,NA,NA,NA,NA,NA,NA,NA,444.9226,NA,NA,NA,NA,NA,NA,NA,NA,NA,345.9304,NA,NA,NA,NA,257.856,NA,NA,NA,221.0708
258,"PYF","French Polynesia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
266,"GAB","Gabon",1396.147,NA,NA,NA,NA,NA,NA,NA,NA,NA,2165.333,NA,NA,NA,NA,NA,NA,NA,NA,NA,2349.23,NA,NA,NA,NA,2428.125,NA,NA,NA,2249.486
270,"GMB","Gambia",724.1875,NA,NA,NA,NA,NA,NA,NA,NA,NA,844.5117,NA,NA,NA,NA,NA,NA,NA,NA,NA,988.8108,NA,NA,NA,NA,1167.096,NA,NA,NA,1257.21
268,"GEO","Georgia",1976.589,NA,NA,NA,NA,NA,NA,NA,NA,NA,1660.768,NA,NA,NA,NA,NA,NA,NA,NA,NA,1464.033,NA,NA,NA,NA,1251.245,NA,NA,NA,1294.572
276,"DEU","Germany",1093.397,NA,NA,NA,NA,NA,NA,NA,NA,NA,649.6945,NA,NA,NA,NA,NA,NA,NA,NA,NA,503.8256,NA,NA,NA,NA,375.4855,NA,NA,NA,334.5227
288,"GHA","Ghana",1318.111,NA,NA,NA,NA,NA,NA,NA,NA,NA,1645.641,NA,NA,NA,NA,NA,NA,NA,NA,NA,1861.152,NA,NA,NA,NA,2232.213,NA,NA,NA,2172.547
300,"GRC","Greece",1016.429,NA,NA,NA,NA,NA,NA,NA,NA,NA,947.1625,NA,NA,NA,NA,NA,NA,NA,NA,NA,750.3752,NA,NA,NA,NA,590.053,NA,NA,NA,523.7656
304,"GRL","Greenland",587.9346,NA,NA,NA,NA,NA,NA,NA,NA,NA,451.5669,NA,NA,NA,NA,NA,NA,NA,NA,NA,272.806,NA,NA,NA,NA,258.5524,NA,NA,NA,261.953
308,"GRD","Grenada",1165.124,NA,NA,NA,NA,NA,NA,NA,NA,NA,1399.927,NA,NA,NA,NA,NA,NA,NA,NA,NA,1292.815,NA,NA,NA,NA,1366.136,NA,NA,NA,1319.895
320,"GTM","Guatemala",977.1019,NA,NA,NA,NA,NA,NA,NA,NA,NA,1120.772,NA,NA,NA,NA,NA,NA,NA,NA,NA,885.2465,NA,NA,NA,NA,998.8746,NA,NA,NA,933.7782
831,"GGY","Guernsey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
324,"GIN","Guinea",849.1843,NA,NA,NA,NA,NA,NA,NA,NA,NA,895.1356,NA,NA,NA,NA,NA,NA,NA,NA,NA,949.276,NA,NA,NA,NA,1082.166,NA,NA,NA,1052.74
624,"GNB","Guinea-Bissau",967.1487,NA,NA,NA,NA,NA,NA,NA,NA,NA,1086.673,NA,NA,NA,NA,NA,NA,NA,NA,NA,1161.258,NA,NA,NA,NA,1291.252,NA,NA,NA,1251.362
328,"GUY","Guyana",2257.755,NA,NA,NA,NA,NA,NA,NA,NA,NA,2495.266,NA,NA,NA,NA,NA,NA,NA,NA,NA,2096.625,NA,NA,NA,NA,2179.29,NA,NA,NA,1925.225
332,"HTI","Haiti",575.0833,NA,NA,NA,NA,NA,NA,NA,NA,NA,611.9947,NA,NA,NA,NA,NA,NA,NA,NA,NA,643.5139,NA,NA,NA,NA,757.1629,NA,NA,NA,748.2233
336,"VAT","Holy See",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
340,"HND","Honduras",439.5597,NA,NA,NA,NA,NA,NA,NA,NA,NA,609.6483,NA,NA,NA,NA,NA,NA,NA,NA,NA,671.5579,NA,NA,NA,NA,834.7547,NA,NA,NA,763.2492
344,"HKG","Hong Kong",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
348,"HUN","Hungary",2044.857,NA,NA,NA,NA,NA,NA,NA,NA,NA,1564.167,NA,NA,NA,NA,NA,NA,NA,NA,NA,1209.24,NA,NA,NA,NA,987.5358,NA,NA,NA,877.0986
352,"ISL","Iceland",245.7161,NA,NA,NA,NA,NA,NA,NA,NA,NA,166.5674,NA,NA,NA,NA,NA,NA,NA,NA,NA,113.0509,NA,NA,NA,NA,77.2735,NA,NA,NA,71.6837
356,"IND","India",1841.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995.693,NA,NA,NA,NA,NA,NA,NA,NA,NA,2345.831,NA,NA,NA,NA,2808.193,NA,NA,NA,2706.533
360,"IDN","Indonesia",1193.045,NA,NA,NA,NA,NA,NA,NA,NA,NA,1366.736,NA,NA,NA,NA,NA,NA,NA,NA,NA,1505.466,NA,NA,NA,NA,1463.495,NA,NA,NA,1449.931
364,"IRN","Iran",2573.382,NA,NA,NA,NA,NA,NA,NA,NA,NA,2512.918,NA,NA,NA,NA,NA,NA,NA,NA,NA,1942.983,NA,NA,NA,NA,1771.736,NA,NA,NA,1563.801
368,"IRQ","Iraq",3535.105,NA,NA,NA,NA,NA,NA,NA,NA,NA,3901.301,NA,NA,NA,NA,NA,NA,NA,NA,NA,3802.645,NA,NA,NA,NA,3316.562,NA,NA,NA,3062.067
372,"IRL","Ireland",779.2112,NA,NA,NA,NA,NA,NA,NA,NA,NA,501.625,NA,NA,NA,NA,NA,NA,NA,NA,NA,268.1885,NA,NA,NA,NA,187.4865,NA,NA,NA,162.5857
833,"IMN","Isle of Man",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
376,"ISR","Israel",1036.789,NA,NA,NA,NA,NA,NA,NA,NA,NA,824.9328,NA,NA,NA,NA,NA,NA,NA,NA,NA,598.7005,NA,NA,NA,NA,505.3106,NA,NA,NA,439.7811
380,"ITA","Italy",1024.553,NA,NA,NA,NA,NA,NA,NA,NA,NA,727.8445,NA,NA,NA,NA,NA,NA,NA,NA,NA,501.628,NA,NA,NA,NA,410.8644,NA,NA,NA,357.4916
388,"JAM","Jamaica",529.9264,NA,NA,NA,NA,NA,NA,NA,NA,NA,793.4891,NA,NA,NA,NA,NA,NA,NA,NA,NA,761.73,NA,NA,NA,NA,869.7674,NA,NA,NA,854.892
392,"JPN","Japan",428.0156,NA,NA,NA,NA,NA,NA,NA,NA,NA,331.2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,242.1947,NA,NA,NA,NA,262.7909,NA,NA,NA,256.0192
832,"JEY","Jersey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
400,"JOR","Jordan",2427.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,2276.548,NA,NA,NA,NA,NA,NA,NA,NA,NA,1782.012,NA,NA,NA,NA,1570.982,NA,NA,NA,1426.959
398,"KAZ","Kazakhstan",1812.209,NA,NA,NA,NA,NA,NA,NA,NA,NA,2206.538,NA,NA,NA,NA,NA,NA,NA,NA,NA,1915.156,NA,NA,NA,NA,1718.873,NA,NA,NA,1555.808
404,"KEN","Kenya",416.7559,NA,NA,NA,NA,NA,NA,NA,NA,NA,608.3737,NA,NA,NA,NA,NA,NA,NA,NA,NA,785.1384,NA,NA,NA,NA,857.9482,NA,NA,NA,687.6207
296,"KIR","Kiribati",637.8045,NA,NA,NA,NA,NA,NA,NA,NA,NA,815.244,NA,NA,NA,NA,NA,NA,NA,NA,NA,703.4514,NA,NA,NA,NA,656.9535,NA,NA,NA,784.7382
689,"XKX","Kosovo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
414,"KWT","Kuwait",2423.749,NA,NA,NA,NA,NA,NA,NA,NA,NA,2254.879,NA,NA,NA,NA,NA,NA,NA,NA,NA,1979.858,NA,NA,NA,NA,1766.278,NA,NA,NA,1695.366
417,"KGZ","Kyrgyzstan",1647.265,NA,NA,NA,NA,NA,NA,NA,NA,NA,1980.864,NA,NA,NA,NA,NA,NA,NA,NA,NA,1740.598,NA,NA,NA,NA,1654.525,NA,NA,NA,1489.85
418,"LAO","Laos",898.6359,NA,NA,NA,NA,NA,NA,NA,NA,NA,947.3137,NA,NA,NA,NA,NA,NA,NA,NA,NA,1040.113,NA,NA,NA,NA,877.6968,NA,NA,NA,930.0564
428,"LVA","Latvia",1761.632,NA,NA,NA,NA,NA,NA,NA,NA,NA,1414.967,NA,NA,NA,NA,NA,NA,NA,NA,NA,1197.23,NA,NA,NA,NA,768.2986,NA,NA,NA,612.175
422,"LBN","Lebanon",1940.775,NA,NA,NA,NA,NA,NA,NA,NA,NA,1724.923,NA,NA,NA,NA,NA,NA,NA,NA,NA,1886.315,NA,NA,NA,NA,1828.016,NA,NA,NA,1647.45
426,"LSO","Lesotho",939.5558,NA,NA,NA,NA,NA,NA,NA,NA,NA,1349.355,NA,NA,NA,NA,NA,NA,NA,NA,NA,2070.586,NA,NA,NA,NA,2264.275,NA,NA,NA,2050.939
430,"LBR","Liberia",982.868,NA,NA,NA,NA,NA,NA,NA,NA,NA,609.8041,NA,NA,NA,NA,NA,NA,NA,NA,NA,657.0462,NA,NA,NA,NA,904.3815,NA,NA,NA,853.1089
434,"LBY","Libya",1779.236,NA,NA,NA,NA,NA,NA,NA,NA,NA,2085.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,2101.679,NA,NA,NA,NA,1905.464,NA,NA,NA,1929.949
438,"LIE","Liechtenstein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
440,"LTU","Lithuania",1319.712,NA,NA,NA,NA,NA,NA,NA,NA,NA,957.9499,NA,NA,NA,NA,NA,NA,NA,NA,NA,930.9769,NA,NA,NA,NA,652.6006,NA,NA,NA,474.2361
442,"LUX","Luxembourg",854.8954,NA,NA,NA,NA,NA,NA,NA,NA,NA,508.2093,NA,NA,NA,NA,NA,NA,NA,NA,NA,375.9038,NA,NA,NA,NA,251.5555,NA,NA,NA,227.6745
446,"MAC","Macao",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
450,"MDG","Madagascar",384.2633,NA,NA,NA,NA,NA,NA,NA,NA,NA,409.5667,NA,NA,NA,NA,NA,NA,NA,NA,NA,491.7618,NA,NA,NA,NA,559.7048,NA,NA,NA,547.7337
454,"MWI","Malawi",359.7987,NA,NA,NA,NA,NA,NA,NA,NA,NA,427.7454,NA,NA,NA,NA,NA,NA,NA,NA,NA,473.8044,NA,NA,NA,NA,530.9577,NA,NA,NA,462.1835
458,"MYS","Malaysia",2049.629,NA,NA,NA,NA,NA,NA,NA,NA,NA,1526.427,NA,NA,NA,NA,NA,NA,NA,NA,NA,1258.252,NA,NA,NA,NA,1209.068,NA,NA,NA,1101.208
