"code","iso","country","CTH.raw.1950","CTH.raw.1951","CTH.raw.1952","CTH.raw.1953","CTH.raw.1954","CTH.raw.1955","CTH.raw.1956","CTH.raw.1957","CTH.raw.1958","CTH.raw.1959","CTH.raw.1960","CTH.raw.1961","CTH.raw.1962","CTH.raw.1963","CTH.raw.1964","CTH.raw.1965","CTH.raw.1966","CTH.raw.1967","CTH.raw.1968","CTH.raw.1969","CTH.raw.1970","CTH.raw.1971","CTH.raw.1972","CTH.raw.1973","CTH.raw.1974","CTH.raw.1975","CTH.raw.1976","CTH.raw.1977","CTH.raw.1978","CTH.raw.1979","CTH.raw.1980","CTH.raw.1981","CTH.raw.1982","CTH.raw.1983","CTH.raw.1984","CTH.raw.1985","CTH.raw.1986","CTH.raw.1987","CTH.raw.1988","CTH.raw.1989","CTH.raw.1990","CTH.raw.1991","CTH.raw.1992","CTH.raw.1993","CTH.raw.1994","CTH.raw.1995","CTH.raw.1996","CTH.raw.1997","CTH.raw.1998","CTH.raw.1999","CTH.raw.2000","CTH.raw.2001","CTH.raw.2002","CTH.raw.2003","CTH.raw.2004","CTH.raw.2005","CTH.raw.2006","CTH.raw.2007","CTH.raw.2008","CTH.raw.2009","CTH.raw.2010","CTH.raw.2011","CTH.raw.2012","CTH.raw.2013","CTH.raw.2014"
36,"AUS","Australia",67212.91,71983.32,78415.88,87821.54,111384.11,98787.44,101896,110813.93,109715.46,113760.45,116314.82,142079.99,157100.35,169270.46,169223.14,189929.01,203689.05,200295.96,215283.86,226686.65,250698.15,300998.44,315052.58,323319.16,376100.45,285103.04,295035.85,370831.89,355818.06,330884.86,295311.29,382439.67,391951.8,403543.55,392969.8,393634.56,384272.64,432447.95,530428.68,506168.58,535029.62,613862.96,510421.45,538288.56,526311.69,558563.15,428396.69,403752.39,382801.48,384969.69,328977.42,460743.61,355183.93,331549.59,322682.14,314300.02,268733.83,251796.82,249492.79,249326.33,211214.54,202643.36,194293.5,189795.79,177128.36
40,"AUT","Austria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,"AZE","Azerbaijan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,"BHS","Bahamas",4622.92,4845.7,4771.69,4136.76,4458.89,5356.89,5840.86,6357.93,6972.97,7886.74,8537.53,8904.47,9848.38,12461.52,13444.62,15146.39,20202.98,19642.74,18268.32,20095.23,19167.38,20161.85,30409.64,19626.14,21100.62,27554.95,20108.81,16879.87,18859.48,19563.72,21641.83,19478.48,20448.95,23314.68,23867.46,26822.43,16272.38,18474.41,18399.87,20591.94,17945.18,19845.4,19758.48,19861.14,20694.24,20029.35,21175.65,24362.65,22338.38,22826.99,23729.51,20720.06,23933.97,25447.47,23943.72,23916.83,23472.26,17273.93,17827.06,17472.49,19871.33,25570.85,27083.56,22634.02,21543.09
48,"BHR","Bahrain",20801.27,20803.1,21311.28,21711.74,22215.81,22618.22,23023.13,23626.71,24026.14,24429.28,25141.19,25935.89,26742.77,28250.55,29450.61,31277.51,33887.29,35348.93,31825.62,27719.08,23538.41,23768.31,24041.04,24370.63,24562.47,25008,25109.09,24903.83,23618.11,22938.53,25613.18,26524.28,27058.4,27830.35,30884.57,35496.05,35284.48,34516.06,31878.52,33683.55,30637.91,32263.73,33643.59,36925.24,39134.71,44431.32,50294.55,42431.66,38418.66,34534.29,33313.71,32199.28,32443.59,34646.96,38248.15,40448.94,40803.57,61232.82,44967.15,69536.05,41475.14,40160.04,117153.07,47993.45,42502.53
50,"BGD","Bangladesh",212312.56,209738,210833.73,218687.28,226180.79,227307,228949.12,237065.41,241289.79,249472.19,256344.43,270031.04,277087.98,279809.09,287907.52,297289.63,299687.87,301272.36,311097.94,312487.88,323631.25,329549.69,354362.49,360464.67,374101.39,373809.86,391526.41,409347.34,424021.5,427027.46,434375.56,441453.24,452884.77,469843.36,511411.17,550901.84,569965.2,602338.6,619649.27,625458.5,635863.6,648443.07,679131.19,723219.35,656272.72,674388.44,695567.75,712051.61,723994.39,728653.88,752164.25,802534.3,844123.81,858634.6,885119.39,904453.97,911838.23,912494.11,914114.67,1040853.04,1035597.76,971645.46,1036266.69,1047801.88,1051769.19
52,"BRB","Barbados",4618.45,4156.71,5722.89,4603.83,3813.79,3928.03,4362.35,5550.67,5962.48,5885.06,6674.4,6274.57,7509.08,7892.98,6080.47,6885.53,10265.09,6958.92,6421.55,5275.52,5970.04,5635.72,5254.39,4935.04,4847.64,6195.94,7091.29,5228.28,5379.59,5705.69,4948.32,5194.63,5132.75,6583.11,7187.73,4321.44,6637.26,6156.39,6665.63,3877.57,6030.14,8502.62,7217.62,6747.65,6523.34,4887.7,5310.28,4657.37,6944.85,6077.49,6532.23,5110.19,5020.18,5295.76,4302.09,4408.21,4032.22,4318.26,6219.5,6053.54,5748.56,3787.66,3130.62,5610.01,5654.61
112,"BLR","Belarus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,"BEL","Belgium",27304.91,29945.07,39525.77,40603.77,37965.13,46122.4,42673.77,21322.48,20066.59,25406.38,18006.02,21266.98,15431.32,20581.89,27248.22,18367.11,19403.3,17906.93,16177.58,19705.77,22133.31,18545.44,17034.92,24130.83,18361.56,23733.28,22530.65,13976.28,12568.57,15486.85,17569.46,18665.41,26538.16,20116.3,18158.11,15484.63,12496.1,13755.74,13597.54,15246.89,10692.16,9052.07,11079.86,10878.5,11484.78,10880.77,8245.38,8298.82,8471.78,11235.92,8654.48,8558.49,6831.34,9684.97,7673.54,7981.42,7914.45,5340.74,5651.58,7979.35,10435.59,6570.67,4898.98,7128.73,7249.56
84,"BLZ","Belize",4345.79,4366.21,4417.96,4438.68,4650.18,4613.03,4828.81,4734.18,4926.12,4985.69,4941.25,4793.19,5077.01,5390.96,5492.36,5656.61,6007.39,7099.6,6625.02,7046.42,6338.78,6657.01,7368.64,6321.6,6552,7085.46,6843.77,7932.15,7745.82,7488.56,7300.54,7198.33,7194.77,8757.45,8945.82,9499.63,7930.18,8526.31,9376.19,11613.54,12851.16,9112.2,7327.43,7012.4,6884.56,6638.44,6676.64,7304.2,6935.19,6001.05,6339.87,6449.9,5882.19,6253.34,6641.74,6075.46,6212.92,5748.85,5709.7,6436.05,6687.38,7805.02,8579.87,8431.22,7138.54
204,"BEN","Benin",21576.44,22610.62,23636.83,24668.15,20699.15,21728.39,19315.01,22430.47,18773.06,20090.14,25510.7,28045.75,30374.04,35623.37,43042.49,49714.44,51462.64,39898,41399.29,45553.93,34483.28,38102.05,37919.59,35614.46,38508.08,31142.52,27795.45,30263.61,32089.25,34515.27,44433.53,41370.58,40262.15,45433.83,47280.21,50034.99,54319.09,63474.43,73597.19,76256.02,84544.54,86175.29,84290.74,82219.94,80253.2,73713.64,74326.95,70619.46,69903.29,71357.73,81003.73,76420.13,79299.25,76917.57,76995.66,80477.39,72896.83,71488.03,74128.93,76627.1,76946.43,78005.05,78417.4,74873,75444.94
60,"BMU","Bermuda",1300.87,1200.19,1100.09,992.7,981.78,975.45,958.35,922.43,914.17,997.12,968.86,1013.85,843.26,1547.22,1989.61,2714.84,3264.75,1629.66,1567.53,1679.22,1789.54,2154.11,3112.5,2538.21,2185.53,2724.05,2743.05,1279.31,1025.75,989.17,1157.34,815.94,815.19,936.83,942.86,1061.14,1209.11,1207.58,1154.34,1158.27,834.29,795.5,792.39,907.52,882.11,968.54,954.57,983.23,993.69,784.96,722.69,656.39,1544.46,701.1,715.13,730.57,840.01,918.86,868.87,885.66,820.47,1013.7,1005.73,911.81,831.01
64,"BTN","Bhutan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,"BOL","Bolivia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,"BIH","Bosnia and Herzegovina",10.46,14.86,19.36,23.32,24.66,24.97,25.45,26.48,26.97,27.42,28.36,29.79,30.98,32.61,34.23,36.33,37.27,38.34,39.39,40.07,40.93,42.19,43.75,44.79,45.9,47.67,49.14,50.62,51.91,53.69,55.69,57.17,58.54,61.53,63.61,64.81,68.08,69.52,71.91,73.91,78,74.2,72.06,67.44,64.1,60.97,62.72,68.18,64.83,58.6,65.85,68.85,75.85,72.57,72.71,69.86,69.26,68.65,68.03,67.42,66.79,66.16,65.53,64.89,64.24
72,"BWA","Botswana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,"BRA","Brazil",190373.95,188328.89,208520.83,182241.33,203819.72,219125.83,238713.98,237319.6,271028.23,335291.02,380147.76,393895.28,533098.85,580262.28,496448.71,550549.82,631581.18,886064.84,752975.81,655594.96,743864.37,832685.3,971795.05,1056630.48,958805.94,917410.79,782567.37,915329.72,1028861.8,1151029.9,974756.74,952975.39,982783.92,1087735.83,1203760.97,1181372.96,1202311.28,1180750.59,1044538.59,970292.28,763566.38,796071.97,800869.56,800394.2,839244.45,756571.04,728344.91,801914.7,751372.13,723326.1,808930.62,888642.09,915840.06,843255.16,859962.72,852552.82,894800,919134.48,915012.29,950002.16,922834.84,910194.57,955323.56,1035848.67,1288102.3
92,"VGB","British Virgin Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,"BRN","Brunei Darussalam",2463.04,2595.8,2838.12,3385.15,2495.09,3230.03,3040.39,2837.73,3174.21,2736.83,2712.12,3458.66,3919.58,4301.34,4426.83,5060.72,4764,5024.2,6622.87,6234.8,6414.01,4665.43,5720.32,8507.18,4901.46,4263.84,4963.8,5428.56,6630.61,7119.53,7073.81,8224.39,7240.83,5907.55,8797.54,10200.66,8839.48,9417.72,7387.07,7153.9,7582.98,11364.38,10647.71,10057.65,13048.69,12636.55,13673.57,10765.45,14505.79,12529.72,14189.88,13706.27,16581.29,17336.82,18246.34,19304.6,19793.84,18422.09,18876.18,19987.69,21399.82,22815.14,23139.01,23408.76,23623.11
100,"BGR","Bulgaria",3956.11,4143.98,5444.59,8668.2,15315.1,26552.34,27853.02,22152.06,17847.31,11261.14,22054.9,24519.01,11318.62,15404.63,10348.61,14724.15,11204.67,18870.22,14221.33,25263.59,11529.73,15332.77,11513.58,8854.24,11083.34,11688.45,14193.16,16194.33,16921.86,21295.09,22267.16,24957.35,21817.74,18249.13,20339.03,22517.85,15590.51,17792.54,10842.54,9812.28,4565.76,4737.78,3696.52,4257.39,21765.69,23988.73,25054.87,27128.31,25839.22,25743.66,24692.85,21388.25,30797.85,31988.69,24587.9,21012.24,27032.19,26606.11,22817.69,18539.7,15167.71,12436.87,12887.15,15216.54,13826.09
854,"BFA","Burkina Faso",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,"BDI","Burundi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
132,"CPV","Cabo Verde",5221.5,5397.1,5572.68,5767.93,5945.02,6099.07,5846.76,6891.39,7058.55,6328.49,7009.78,7230.51,6641.58,6813.26,10140.16,14813.95,11867.29,16549.89,14848.26,12576.07,18861.62,18320.92,15832.49,13778.79,10903.87,14448.94,13430.91,16714.94,16450.25,12653.43,16831.05,21597.16,16620.71,22990.67,18563.5,21901.8,19137.43,16028.28,15087.69,20128.44,17043.99,21845.05,16144.35,17627.19,24559.21,20357.91,22842.37,28728.5,24093.56,42588.28,26010.3,22834.81,20238.37,19949.7,22797.98,18830.68,21544.7,23280.45,18404.05,25020.94,21284.18,18901.54,25291.76,25646.82,37774.56
116,"KHM","Cambodia",11296.56,11505.27,12222.3,12634.78,13045.97,13754,14266.44,14474.5,14981.84,15189.84,15900.88,27261.37,25235.52,18883.98,19252.56,50803.1,65304.76,78901.35,118529.27,139329.52,178250.6,201864.06,220696.44,217639.25,212557.86,210105.31,209754.39,289425.85,298220.34,290989.31,288963.06,357701.72,420000.55,473676.88,477715.8,534766.63,626055.54,741924.1,722054.59,761523.71,825252.3,895424.69,1034551.36,1103882.82,1205540.1,1295810.93,1367449.96,1314517.57,1325140.66,1342098,1361895.47,1281595.98,1284310.8,1277457.68,1252518.32,1240064.31,1161455.23,1006399.08,778857.06,785540.23,779741.4,829615.59,784272.93,788514.19,780659.55
120,"CMR","Cameroon",14499.09,14771.01,15042.8,15665.2,21613.85,26501.9,28164.66,29252.32,33382.68,23045.43,23498.38,28024.03,29115.42,29578.34,29509.08,25325.62,25220.91,25433.18,27095.27,32888.82,43747.65,53430.94,59149.67,74836.87,75960.28,78026.99,82807.82,89364.7,80617.31,79554.41,79265.07,75380.11,72896.82,68915.9,67679.72,64949.16,64409.52,64488.12,70118.7,80435.33,90293.37,91562.99,89927.94,92775.15,95996.25,98080.85,100118.79,102807.89,105826.97,115616.3,109359.59,112044.51,114587.95,117135.42,121456.67,123937.36,128037.96,135004.05,139554.08,144424.94,143380.36,152818.92,157068.59,161540.69,165947.15
124,"CAN","Canada",2286026.68,2067490.96,2372396.01,2596522.42,3139358.51,3244670.74,3657411.51,3690216.88,3914412.72,4406668.33,4759127,5194901.46,4895816.5,6098209.85,6523440.79,7338739.66,6741965.1,6637943.48,6709014.14,6201020.75,5779361.82,5350994.7,4749833.01,4810252.09,3924245.46,3484535.47,2896240.56,2082641.24,1951066.13,2016182.02,1871763.52,1920184.08,1911730.81,1919354.79,1973595.81,2191569.12,2521387.01,2700333.7,2614382.53,2599013.78,2721265.96,2159434.64,1871112.25,1862864.97,1498570.33,1191922.24,1278573.69,1338523.64,1177859.66,1198245.44,1196291.36,1251610.87,1274229.2,1298695.37,1344856.85,1270226.24,1231057.37,1183132.03,1097435.47,1113975.56,1078224.82,1010484.95,950006.5,998810.39,1005832.84
136,"CYM","Cayman Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
140,"CAF","Central African Republic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
148,"TCD","Chad",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
152,"CHL","Chile",138626.58,152642.82,183399.91,189039.61,188064.95,249998.55,209928.34,207968.05,201810.67,225229.73,412788.12,489924.9,523482.18,1484726.6,2285263.2,711322.43,1482174.29,1159730.15,1512768.59,1138390.36,1673773.76,1577950.34,867659.55,740069.95,2065004.5,1755662.41,1912651.5,2535159.4,3628090.39,2529855.7,2789722.21,3279043.66,5215935.84,4198372.75,4194094.8,4392367.06,5132833.79,4884215.14,4620754.35,5697633.88,5077305.52,5490892.04,5426817.84,4354077.41,5517649.87,5456494.41,5258865.18,4073489.26,2472680.62,3647917.96,3012359.15,3068361.35,3219292.47,3294547.61,4746738.31,4171815.01,3867088.12,3352652.29,3203725.17,3362853.91,3176368.77,3705519.95,3223464.25,3165384.13,3430608.31
156,"CHN","China",1031612.32,1339843.81,1603689.5,1616872.68,1914800.64,2081402.55,2431301.85,2320402.08,2437765.46,2470407.45,2568480.81,2330589.1,2525960.44,2447400.25,2488068.5,2600744.49,2752893.17,2510433.68,2637790.12,2807832.34,2759571,2736457.06,2922309.07,3154270.69,3219201.89,3385523.96,3286257.95,3338592.98,3246106.36,3234986.23,3220273.07,3350170.66,3819925.85,3897420.98,4392553.11,4729810.55,4794942.22,5479413.33,5879511.01,5642651.79,6243729.91,6257627.1,7026325.58,7156720.75,8418341.11,9434287.26,10637225.99,11512725.15,11304594.24,9484239.72,9361042.36,10142488.91,9943494.42,9577568.39,9590636.78,9501930.89,9406158.72,9196796.94,9317185.72,9556492.78,9733859.93,10087736.95,10215040.5,10430070.73,10251390.99
170,"COL","Colombia",4828.84,4794.03,4831.64,4910.99,5399.45,5422.61,7371.25,11232.63,23636.06,37429.46,48434.92,69632.92,105724.49,89726.78,82754.59,79024.23,90969.32,154279.32,157206.14,84469.53,72225.54,65629.79,85998.96,140158.13,98449.53,91447.33,70103.54,114386.1,131246.06,107144.41,86945.35,108502.91,115235.28,59398.65,103397.49,91998.17,118998.97,98121.46,102558.87,107327.08,145253.05,202452.8,170674.52,118439.06,88045.12,97812.56,126671.3,113581.03,114114.32,95818.09,125176.23,108647.53,88655.96,88896.14,70649.11,80456.81,71013.62,97533.67,86060.77,82950.58,52641.83,47142.73,56002.7,41321.8,69369.16
174,"COM","Comoros",1167.38,1271.63,1553.2,2104.38,2357.54,2424,3937.18,1981.86,2612.89,8196.83,10978.67,9567.35,2673.29,3199.2,7198.54,3101.77,4015.88,3660.5,4047.96,8577.56,5193.72,4035.2,4596.81,4169.53,4575.75,4519.57,4073.08,4757.2,4118.29,4890.09,5148.07,5585.54,6004.64,10536.47,10638.72,9717.87,8709.03,8712.81,9908.3,11060.46,12258.31,13032.81,13899.12,14887.48,14454.3,14868.6,15432.77,15918.61,17755.27,17046.78,17464.79,17903.67,18412.91,18942.07,18761.54,18829.57,19152.34,19068.74,18954.33,18941.83,18748.67,19703.15,18101.86,18610.3,19030.55
