"code","iso","country","MSW.raw.2017"
462,"MDV","Maldives",0.096199999981088
466,"MLI","Mali",0
470,"MLT","Malta",0.9665
584,"MHL","Marshall Islands",0.2208
478,"MRT","Mauritania",0.124872
480,"MUS","Mauritius",0.98
484,"MEX","Mexico",0.74253
583,"FSM","Micronesia",0
498,"MDA","Moldova",0.13788
492,"MCO","Monaco",0.904
496,"MNG","Mongolia",0
499,"MNE","Montenegro",0.05256858
504,"MAR","Morocco",0.3956
508,"MOZ","Mozambique",0.0069
104,"MMR","Myanmar",0
516,"NAM","Namibia",0.04185
520,"NRU","Nauru",0
524,"NPL","Nepal",0.305217999992753
528,"NLD","Netherlands",1.002086
540,"NCL","New Caledonia",0
554,"NZL","New Zealand",0.68
558,"NIC","Nicaragua",0.114464000051051
562,"NER","Niger",0.01
566,"NGA","Nigeria",0.0768000000081116
570,"NIU","Niue",NA
408,"PRK","North Korea",NA
807,"MKD","North Macedonia",0.720504
578,"NOR","Norway",0.975942
512,"OMN","Oman",5.92e-05
586,"PAK","Pakistan",0.3108
585,"PLW","Palau",0
591,"PAN","Panama",0.419650000064696
598,"PNG","Papua New Guinea",0.4386
600,"PRY","Paraguay",0.349655999977762
604,"PER","Peru",0.299655600047049
608,"PHL","Philippines",0.173599999969929
616,"POL","Poland",0.91148
620,"PRT","Portugal",0.90206
634,"QAT","Qatar",0.602359999992248
178,"COG","Republic of Congo",0
642,"ROU","Romania",0.657612
643,"RUS","Russia",0.03195
646,"RWA","Rwanda",0
652,"BLM","Saint Barthelemy",NA
659,"KNA","Saint Kitts and Nevis",0.784
662,"LCA","Saint Lucia",0.775399999958772
670,"VCT","Saint Vincent and the Grenadines",0.728163799937672
882,"WSM","Samoa",0.5168
674,"SMR","San Marino",0.31084500002329
678,"STP","Sao Tome and Principe",0
682,"SAU","Saudi Arabia",0.614200000295429
686,"SEN","Senegal",0.00856800000081498
688,"SRB","Serbia",0.447183696086957
690,"SYC","Seychelles",0
694,"SLE","Sierra Leone",0
702,"SGP","Singapore",0.996
534,"SXM","Sint Maarten",NA
703,"SVK","Slovakia",0.80596
705,"SVN","Slovenia",0.838122575982721
90,"SLB","Solomon Islands",0
706,"SOM","Somalia",0
710,"ZAF","South Africa",0.770400000173374
410,"KOR","South Korea",0.967031999742027
728,"SSD","South Sudan",0
724,"ESP","Spain",0.88982
144,"LKA","Sri Lanka",0.044475
275,"PSE","State of Palestine",0.2329
729,"SDN","Sudan",0.537919999886977
740,"SUR","Suriname",0
752,"SWE","Sweden",0.9984
756,"CHE","Switzerland",0.99
760,"SYR","Syria",0.16
158,"TWN","Taiwan",0
762,"TJK","Tajikistan",0
834,"TZA","Tanzania",0
764,"THA","Thailand",0.328800000007448
626,"TLS","Timor-Leste",0
768,"TGO","Togo",0.01026
776,"TON","Tonga",0.272
780,"TTO","Trinidad and Tobago",0.104
788,"TUN","Tunisia",0.3965
792,"TUR","Turkey",0.484659999872135
795,"TKM","Turkmenistan",0.592
796,"TCA","Turks and Caicos Islands",NA
798,"TUV","Tuvalu",0.127500000012533
800,"UGA","Uganda",0.0487499999992903
804,"UKR","Ukraine",0.730674000226348
784,"ARE","United Arab Emirates",0.267880000012
826,"GBR","United Kingdom",0.929144
840,"USA","United States of America",0.483192
858,"URY","Uruguay",0.488591999848169
860,"UZB","Uzbekistan",0
548,"VUT","Vanuatu",0.31449999999288
862,"VEN","Venezuela",0
704,"VNM","Viet Nam",0.228
876,"WLF","Wallis and Futuna Islands",NA
732,"ESH","Western Sahara",NA
887,"YEM","Yemen",0.13024
894,"ZMB","Zambia",0
716,"ZWE","Zimbabwe",0.1104
