"code","iso","country","FSS.raw.1950","FSS.raw.1951","FSS.raw.1952","FSS.raw.1953","FSS.raw.1954","FSS.raw.1955","FSS.raw.1956","FSS.raw.1957","FSS.raw.1958","FSS.raw.1959","FSS.raw.1960","FSS.raw.1961","FSS.raw.1962","FSS.raw.1963","FSS.raw.1964","FSS.raw.1965","FSS.raw.1966","FSS.raw.1967","FSS.raw.1968","FSS.raw.1969","FSS.raw.1970","FSS.raw.1971","FSS.raw.1972","FSS.raw.1973","FSS.raw.1974","FSS.raw.1975","FSS.raw.1976","FSS.raw.1977","FSS.raw.1978","FSS.raw.1979","FSS.raw.1980","FSS.raw.1981","FSS.raw.1982","FSS.raw.1983","FSS.raw.1984","FSS.raw.1985","FSS.raw.1986","FSS.raw.1987","FSS.raw.1988","FSS.raw.1989","FSS.raw.1990","FSS.raw.1991","FSS.raw.1992","FSS.raw.1993","FSS.raw.1994","FSS.raw.1995","FSS.raw.1996","FSS.raw.1997","FSS.raw.1998","FSS.raw.1999","FSS.raw.2000","FSS.raw.2001","FSS.raw.2002","FSS.raw.2003","FSS.raw.2004","FSS.raw.2005","FSS.raw.2006","FSS.raw.2007","FSS.raw.2008","FSS.raw.2009","FSS.raw.2010","FSS.raw.2011","FSS.raw.2012","FSS.raw.2013","FSS.raw.2014"
36,"AUS","Australia",0,0,0,0,0,0.0187413289584182,0.0246394189173275,0,0.024729564092426,0.0243591381275303,0.0175555999484846,0.0218524200346579,0.0291207728054075,0.0328648446456635,0.0332484095319352,0.00132507155173399,0.0223018718237431,0.0156617572566117,0.0140148235450628,0.0134078025679942,0.0169019829224907,0.0148603654656815,0.0159016351492821,0.0210559320053906,0.0455310993033909,0.0459176644731673,0.0405881671396883,0.0360577536899537,0.0395525517957127,0.0525445215474652,0.0361581245640829,0.0316179467182366,0.0252534433162445,0.0249470003398642,0.025356552251598,0.035793839318885,0.0343422479909056,0.0420094499650189,0.0372375391560652,0.0550547769243204,0.0533859158152777,0.0978126091856072,0.126291422995644,0.170560972079734,0.163304890164989,0.166335339705099,0.163622899117171,0.171504249146364,0.166048242109722,0.190536789187221,0.173254151099489,0.219097387924707,0.236679648676673,0.294965146447625,0.318101070620146,0.354511208020286,0.374065059185142,0.382560873258844,0.407493309409863,0.467218171526449,0.562423513688972,0.652079376363479,0.680078604441219,0.703581440995082,0.736852526168029
40,"AUT","Austria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,"AZE","Azerbaijan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,"BHS","Bahamas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0139,0.0169,0.0139,0.01,0.0156,0.0433,0.107,0.1091,0.1183,0.0563,0.0566,0.0097,0.0099,0.0109,0.0117,0.0125,0.0125,0.0121,0.0886,0.1704,0.3002,0.2736,0.2954,0.3004,0.3121,0.3128,0.312,0.2372,0.1373,0.0416,0.0339,0.037,0.0478,0.0629,0.1233,0.1064,0.0963,0.0443,0.0516,0.1262,0.2107,0.3137,0.2911,0.2541,0.238,0.2335,0.2506,0.2814
48,"BHR","Bahrain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"BGD","Bangladesh",0,0,0,0,0.002,0.0017,0.0042,1e-04,1e-04,1e-04,1e-04,0,0,0,0,0,0,0,0,1e-04,0,0,0,1e-04,2e-04,0.0022,0,0,0,0,0,0,0,0,0,0,0,0,0.0013,2e-04,1e-04,1e-04,1e-04,1e-04,1e-04,2e-04,2e-04,2e-04,2e-04,5e-04,4e-04,0.0014,0.0027,0.004,0.0045,0.0046,0.0048,0.0085,0.0106,0.0153,0.0163,0.0216,0.021,0.0205,0.017
52,"BRB","Barbados",0,0.2058,0.2568,0.4231,0.4051,0.3558,0.2167,0.2279,0.1832,0.2026,0.1833,0.1676,0.142,0.1256,0.1972,0.2068,0.2463,0.2404,0.2791,0.2835,0.2246,0.2878,0.314,0.434,0.4408,0.367,0.2709,0.258,0.2901,0.2974,0.3312,0.3426,0.3813,0.3988,0.3805,0.381,0.3814,0.294,0.1848,0.2694,0.3316,0.2559,0.2584,0.2927,0.2801,0.4283,0.538,0.489,0.4731,0.4472,0.5092,0.4982,0.5262,0.5193,0.5137,0.5082,0.5135,0.5316,0.5402,0.5457,0.5439,0.532,0.5257,0.5219,0.5218
112,"BLR","Belarus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,"BEL","Belgium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,"BLZ","Belize",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
204,"BEN","Benin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,"BMU","Bermuda",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2381,0.0981,0.0676,0,0.0236,0.1849,0.0297,0.2423,0.2298,0.0426,0.2619,0.3969,0.367,0.3407,0.2975,0.3454,0.2756,0.2767,0.2488,0.2638,0.2777,0.2438,0.2542,0.4133,0.3089,0.3786,0.3207,0.2345,0.2899,0.209,0.1104,0.1766,0.2634,0.4545,0.2674,0.3645,0.2694,0.3756,0.3254,0.3268,0.2332,0.2577,0.3112,0.2668,0.1793,0.1623,0.2101,0.2156
64,"BTN","Bhutan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,"BOL","Bolivia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,"BIH","Bosnia and Herzegovina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,"BWA","Botswana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,"BRA","Brazil",0,0,0,0,0,0,0,0,0,0,0,0.00268789721978898,0.0094958353877522,0.0115952609430342,0.0128924335567314,0.010294768335407,0.00672986510459352,0.0215484243681309,0.024945650036221,0.0357628370114377,0.0409820470565084,0.0483908603046073,0.0577914242576148,0.0553439375248762,0.0608013373071093,0.0839402940573655,0.102898327489683,0.0959907582395555,0.0805157970448509,0.0711682247385581,0.0673641685975929,0.0683238081436709,0.0658789789438151,0.0630090079546244,0.060101935788797,0.0648223912472146,0.0614786422015437,0.0641073950045623,0.0710508941914726,0.189342984188228,0.317672769152042,0.450016966254948,0.447884703521507,0.448277771545571,0.432586187912235,0.456383221353543,0.443908434395457,0.440164636081618,0.407409256928388,0.389434117174812,0.323002035881643,0.280831453563042,0.28149130945091,0.302241957384524,0.319684841262654,0.283485148199967,0.245477430714126,0.21370921368329,0.186201368292004,0.185754579000115,0.194527651915483,0.198738539993707,0.23869127559672,0.289816769626204,0.315898757270288
92,"VGB","British Virgin Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,"BRN","Brunei Darussalam",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,"BGR","Bulgaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
854,"BFA","Burkina Faso",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,"BDI","Burundi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
132,"CPV","Cabo Verde",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0336,0.0387,0.0394,0.0539,0.0417,0.0209,0.0244,0.0126,0.0061,0.0161,0.0145,0.0142,0.0196,0.0362,0.0525,0.0755,0.0812,0.0894,0.1881,0.2558,0.3324,0.2893,0.1906,0.1891,0.133,0.1784,0.1607,0.186,0.263,0.3398,0.4754,0.4972,0.4256,0.4044,0.3163,0.2911,0.2812,0.3606,0.4627,0.4679,0.4328,0.3758,0.2989,0.2443
116,"KHM","Cambodia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0041,0.0028,0.0021,0.0017,9e-04,5e-04,1e-04,0.0054,0.0105,0.0158,0.018,0.019,0.0196,0.0178,0.0134,0.0083,0.0052,0.0066,0.0079,0.0091,0.0075,0.0056,0.0035,0.0028,0.0023,0.0022,0.0027,0.0042,0.0051,0.0051,0.0082,0.011,0.011,0.0069,0.005,0.0211,0.0336,0.0358,0.0264,0.0213,0.027,0.0388,0.1797,0.3026,0.4485,0.3801,0.4056,0.4162,0.4471,0.4486
120,"CMR","Cameroon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
124,"CAN","Canada",0,0,0.00607950523825068,0.00532278950204482,0.00288967683592149,0.00736983742825012,0.0111893162959943,0.0120362861632133,0.015535334121845,0.0167463491542147,0.0124417247812466,0.0135701113422082,0.0120220853058933,0.0139834803615359,0.0253388097689778,0.0259536177112461,0.039784809700513,0.0314978974875212,0.0332844032598804,0.0633583342144114,0.150902310158183,0.247461894525517,0.317907492342347,0.342549977229988,0.448408532744534,0.565236162259815,0.697883830345916,0.722096457926666,0.745760327583566,0.772485402471251,0.763833591105569,0.743408981138412,0.723925648138192,0.715622567108606,0.692492136848426,0.667742651225164,0.639151395305634,0.596776030095095,0.616123632291102,0.572066792101426,0.548449046000634,0.551517697450662,0.556373177294949,0.481649270143826,0.511202666029695,0.500086872781231,0.501154265996198,0.486769535644511,0.53857296841459,0.589702717273016,0.575661115574721,0.558201241914749,0.549174343183314,0.479925986623792,0.437557609263767,0.417829037803533,0.442313310829697,0.467824798089525,0.467083636284328,0.482695655597687,0.463547427132126,0.451925155124774,0.440967722973474,0.438049319828361,0.455053341431962
136,"CYM","Cayman Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
140,"CAF","Central African Republic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
148,"TCD","Chad",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
152,"CHL","Chile",0,0,0,0,0,0,0.0234630924057228,0,0,0.0221802137177894,0.0212524198588855,0.0157726785799211,0.00808283685415996,0.00379717982960634,0.00279854060223785,0.004591265578396,0.00179788743468219,0.00399171959097554,0.00688997613706403,0.0015977209083183,0.00656727215391404,0.00883343470365487,0.0138814731884182,0.0232925832483808,0.0354385292748757,0.0347932898466511,0.0286974867543826,0.0165263369806254,0.0187636280307779,0.0248404770908475,0.0318971356090684,0.0256471940062549,0.0231796949956348,0.0207660742503152,0.0208412992448335,0.018419022072577,0.0156179558742345,0.106846655708127,0.195300544644837,0.254068612886197,0.197698996283958,0.158736169113061,0.139747619141755,0.105510862093515,0.0739900142826569,0.05787481194359,0.0615101778981145,0.182927519375858,0.26891541249836,0.388301112745968,0.417085004060688,0.42835126662347,0.504138895909634,0.342888150446246,0.353792591001293,0.339149299823819,0.364111777406821,0.461932231372851,0.486440108558375,0.585808095616024,0.443041891027974,0.354725117189559,0.310066478926825,0.376500197068025,0.414896886260968
156,"CHN","China",0,0,0,0,0.001,0.0074,0.012,0.0179,0.0232,0.0288,0.028,0.0233,0.0162,0.0211,0.0252,0.0398,0.044,0.0436,0.0341,0.0257,0.0234,0.0221,0.0259,0.0427,0.0539,0.0629,0.0645,0.0712,0.0784,0.0813,0.0877,0.0829,0.077,0.0646,0.0564,0.0498,0.0434,0.0362,0.0347,0.0332,0.0414,0.0499,0.0598,0.0654,0.0613,0.0558,0.0473,0.0499,0.0573,0.0701,0.0759,0.0866,0.1079,0.129,0.1441,0.1461,0.1532,0.1737,0.188,0.1992,0.1716,0.153,0.1283,0.1141,0.0878
170,"COL","Colombia",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0142393834705759,0.0148024350431801,0.0448419220661815,0,0.0397835355509734,0.0900321732153719,0.222623408488244,0.249762349717288,0.282275713666004,0.248350260165937,0.135598478211717,0.266562686383571,0.295324397584927,0.159150318885466,0.146573093601408,0.10186546381659,0.16515901888862,0.221244405192457,0.333870345772293,0.347484460939393,0.307191184900667,0.346609102996601,0.386269144701465,0.472554304881799,0.442825243937463,0.36989692242124,0.323201009083635,0.31308592965862,0.320901177039784,0.371771145898052,0.505121144586929,0.501317460786015,0.439388357446119,0.208911162418006,0.194548146288161,0.346784045078654,0.276235843304745,0.280246899998506,0.235010718071547,0.211417950253993,0.36853708930444,0.502828023537735,0.263234057713698,0.143536395243617,0.134981654325117,0.252307453221718,0.366416002636751,0.492901472821139,0.52602615527357,0.531624643097565,0.368772586673378,0.118167689618845
174,"COM","Comoros",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0126,0,0.0099,0.0068,0,5e-04,8e-04,6e-04,0,0,0,0,0,0,0,0,0,0,0,0.0018,0.0011,8e-04,9e-04,0.0012,0.0015,0.0017,0.009,0.0089,0.0122,0,0,0,0.0075,0.0139,0.0199,0.0248,0.0247,0.0283,0.0753,0.0027,0.1644,0.169,0.0559
184,"COK","Cook Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
188,"CRI","Costa Rica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00829755887033098,0.0306072911403417,0.0275131495968677,0.0237436209339508,0.029490450507571,0.00699184990127249,0.115951401403227,0.258622176948462,0.500557993529481,0.392242673236747,0.249652063428332,0.196781015960887,0.190061499573116,0.240344296737839,0.220729949191751,0.210810649209514,0.109038261120285,0.129972273824793,0.144445519689633,0.106882905916556,0.133814347267929,0.175080191402316,0.346178358878957,0.410166116362692,0.357776335401633,0.276115938734433,0.2519690609067,0.260525081681781,0.354662858057236,0.294973383021386,0.348474956039168,0.308081287602342,0.266119956378597,0.211841150302396,0.217608189575642,0.250196166485083,0.309168914766839,0.348656540859791,0.363611536893627,0.359798578123576,0.308310007136285,0.258755727678994,0.224325159405903,0.220991586660984,0.202795706055382,0.194108569325198,0.251289520962435
384,"CIV","Cote d'Ivoire",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0083,0,0.0119,0.0418,0.0695,0.0908,0.0731,0.0579,0.0535,0.0437,0.0444,0.046,0.0468,0.0345,0.0772,0.0995,0.1557,0.1286,0.1442,0.1335,0.1252,0.1,0.0828,0.0831,0.1,0.0931,0.0772,0.0714,0.0833,0.0963,0.0812,0.1099,0.1133,0.1081,0.0604,0.0542,0.0931,0.1891,0.2828,0.2617,0.254,0.2357,0.2782,0.2467,0.2253,0.1933,0.1587,0.1423,0.1796,0.2576
191,"HRV","Croatia",0,0,0,0,0,0.0578,0.04,0.0611,0.0236,0.0495,0.044,0.0528,0.0523,0.0398,0.0329,0.0254,0.0686,0.0828,0.1119,0.0755,0.0539,0.0265,0.0657,0.0782,0.1102,0.1014,0.1229,0.0913,0.062,0.0298,0.026,0.0258,0.0375,0.0442,0.0463,0.0346,0.0291,0.0303,0.0362,0.0492,0.0595,0.062,0.0552,0.0501,0.0705,0.1128,0.1499,0.1764,0.1769,0.1737,0.1639,0.1487,0.137,0.1296,0.1247,0.1188,0.1109,0.1038,0.0949,0.0868,0.0829,0.0874,0.0879,0.0838,0.0703
