"code","iso","country","GOE.raw.1996","GOE.raw.1998","GOE.raw.2000","GOE.raw.2002","GOE.raw.2003","GOE.raw.2004","GOE.raw.2005","GOE.raw.2006","GOE.raw.2007","GOE.raw.2008","GOE.raw.2009","GOE.raw.2010","GOE.raw.2011","GOE.raw.2012","GOE.raw.2013","GOE.raw.2014","GOE.raw.2015","GOE.raw.2016","GOE.raw.2017","GOE.raw.2018"
48,"BHR","Bahrain",0.7766396,0.603047,0.5889424,0.5528279,0.4817965,0.546102,0.3969875,0.3956852,0.4089861,0.3868127,0.4806274,0.456938,0.5206671,0.5497593,0.588787,0.5650396,0.5598009,0.3278428,0.1939208,0.1798774
50,"BGD","Bangladesh",-0.6878501,-0.4404702,-0.580437,-0.6887409,-0.7254452,-0.8191851,-0.9113003,-0.8245271,-0.7045036,-0.7324244,-0.7912479,-0.7356325,-0.755215,-0.8041654,-0.7938247,-0.7657504,-0.7236189,-0.678659,-0.7334504,-0.7483993
52,"BRB","Barbados",1.414038,1.46205,1.446284,1.423874,1.410648,1.205475,1.29583,1.449119,1.327273,1.572235,1.484389,1.411678,1.470894,1.462176,1.357322,1.204714,1.025177,1.082172,0.8423941,0.4269727
112,"BLR","Belarus",-0.3805645,-0.601107,-0.6049955,-0.9226209,-0.9246382,-1.069121,-1.08396,-1.117119,-1.112913,-1.114199,-1.129521,-1.114167,-1.077807,-0.9016269,-0.8968143,-0.4861701,-0.4588384,-0.4779201,-0.3379301,-0.3010303
56,"BEL","Belgium",1.711544,1.83851,1.734676,1.97801,1.933774,1.875864,1.711561,1.747101,1.60886,1.389756,1.571342,1.575026,1.656356,1.602476,1.607339,1.381594,1.438441,1.326213,1.181693,1.171748
84,"BLZ","Belize",0.3885508,0.0913241,0.0628837,0.0582947,-0.0569368,-0.2571345,-0.0891359,-0.33318,-0.4533815,-0.5131488,-0.4490965,-0.4300884,-0.3809695,-0.32469,-0.329107,-0.6573147,-0.6841977,-0.6759179,-0.6364971,-0.5938884
204,"BEN","Benin",-0.3805645,-0.2281822,-0.2342435,-0.3677277,-0.2826665,-0.3562629,-0.6576268,-0.6065888,-0.5326906,-0.4623681,-0.5754821,-0.5946886,-0.5458966,-0.5152873,-0.4894403,-0.4568181,-0.6196358,-0.5641903,-0.648205,-0.5659866
60,"BMU","Bermuda",1.157666,1.20505,1.183575,1.154031,1.151541,1.177905,1.027272,1.027619,0.9977152,1.021444,1.021205,1.00544,0.9957858,1.008661,1.014979,0.952229,1.007332,1.328888,1.386591,1.387551
64,"BTN","Bhutan",0.6449225,0.6075543,0.8294715,0.7845386,0.4894388,0.0205903,0.3245951,0.2366175,0.2958726,0.2825854,0.4948203,0.5846536,0.6326249,0.5126127,0.4004478,0.2561472,0.406338,0.5005098,0.5712876,0.3588973
68,"BOL","Bolivia",-0.1749895,-0.0696336,-0.3550617,-0.301505,-0.3208049,-0.5872478,-0.6887374,-0.7167103,-0.5706812,-0.6245782,-0.6045188,-0.5023107,-0.472497,-0.3686716,-0.3865935,-0.5877074,-0.6519912,-0.5670627,-0.3831694,-0.3220994
70,"BIH","Bosnia and Herzegovina",-1.192046,-1.075309,-0.8378961,-0.9600754,-0.7451925,-0.6297022,-0.7555057,-0.6169132,-0.8443848,-0.597142,-0.7154362,-0.7410704,-0.7432485,-0.4572612,-0.4347017,-0.4511423,-0.5452667,-0.3934374,-0.4818313,-0.6185398
72,"BWA","Botswana",0.556377,0.5215724,0.5258102,0.6065881,0.7258958,0.6100825,0.6495795,0.5078346,0.6010549,0.5673319,0.4725233,0.4473519,0.4605835,0.4822128,0.4141677,0.3524033,0.5019405,0.5298322,0.4369733,0.3334411
76,"BRA","Brazil",-0.1431337,-0.0804911,0.0940802,0.0559796,0.1975102,0.0195322,-0.0963305,-0.3203326,-0.2142833,-0.0895778,-0.0947754,-0.0353412,-0.1165466,-0.1281734,-0.0928867,-0.1393555,-0.18409,-0.1737783,-0.2910038,-0.4474374
92,"VGB","British Virgin Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,"BRN","Brunei Darussalam",0.9272897,0.9378154,0.9146784,0.8949295,0.7458653,0.2431719,0.600312,0.8732989,0.9243966,0.8885025,0.9180717,0.9018937,0.8970225,0.8435253,0.8697733,1.086335,1.059952,1.084177,1.144335,1.252714
100,"BGR","Bulgaria",-0.0425848,-0.2018884,0.0029948,0.2487509,0.114253,0.1505233,0.1818574,-0.0573758,-0.0075428,-0.0473091,0.1661583,0.1148352,0.1100856,0.1418881,0.1573445,0.0787379,0.2086831,0.2958971,0.2601942,0.2718757
854,"BFA","Burkina Faso",-0.9289404,-0.7061151,-0.5765679,-0.6777477,-0.5573869,-0.5146186,-0.5787717,-0.762337,-0.7534196,-0.4897978,-0.5855719,-0.5688464,-0.559046,-0.623989,-0.6608419,-0.5788296,-0.6194581,-0.5641686,-0.5799432,-0.5783429
108,"BDI","Burundi",-1.662423,-1.581981,-1.384127,-1.401429,-1.394841,-1.307576,-1.249581,-1.103347,-1.26863,-1.127049,-1.04617,-1.100945,-1.063229,-1.320103,-1.064957,-1.129147,-1.184265,-1.441686,-1.341107,-1.419982
132,"CPV","Cabo Verde",NA,0.3660405,0.3189252,-0.0754885,-0.0228101,-0.0322119,-0.2121785,0.1572554,0.3535233,0.065787,0.0531146,-0.0159267,0.1546475,0.1205737,0.0969095,0.069981,0.1674934,0.12505,0.1679305,0.3192393
116,"KHM","Cambodia",-0.7247631,-1.019837,-0.8275169,-0.8083998,-0.85185,-0.8856814,-0.9993225,-0.966638,-0.9037987,-0.9887551,-0.9450983,-0.9429888,-0.862749,-0.815832,-0.9061814,-0.6889596,-0.6994551,-0.694114,-0.6581384,-0.568605
120,"CMR","Cameroon",-1.080203,-0.8050205,-0.7503956,-0.8495601,-0.7047145,-0.6965621,-0.9095589,-0.9493961,-0.841257,-0.8058205,-0.8375226,-0.8900719,-0.8900592,-0.8980061,-0.918752,-0.7910342,-0.7805845,-0.7638641,-0.813673,-0.7996525
124,"CAN","Canada",1.742364,1.94848,1.931158,1.923086,1.990027,1.922352,1.887422,1.895545,1.761394,1.791681,1.74589,1.783194,1.778378,1.765713,1.788732,1.760523,1.762081,1.781461,1.85416,1.716108
136,"CYM","Cayman Islands",1.926781,1.976049,1.971704,1.963559,1.410648,1.276951,1.292862,1.285327,1.252985,1.279326,1.268192,1.251719,1.242131,1.254732,1.227074,1.180054,1.166785,1.182226,1.226461,1.204366
140,"CAF","Central African Republic",-1.406051,-1.251533,-1.324443,-1.538998,-1.460073,-1.531203,-1.564509,-1.504425,-1.537028,-1.374411,-1.41218,-1.387743,-1.282366,-1.448529,-1.609883,-1.848333,-1.78465,-1.771704,-1.765036,-1.720417
148,"TCD","Chad",-0.6369361,-0.5752642,-0.7014695,-0.8493667,-1.050446,-1.168478,-1.383892,-1.484556,-1.626121,-1.576653,-1.445783,-1.466302,-1.370537,-1.488766,-1.388831,-1.495927,-1.461036,-1.511895,-1.469803,-1.528847
152,"CHL","Chile",1.337977,1.195396,1.122833,1.147711,1.224551,1.190407,1.23629,1.034509,1.275488,1.168234,1.247791,1.27253,1.247598,1.264068,1.264524,1.161332,1.086102,1.010753,0.8435157,1.084034
156,"CHN","China",-0.3486539,-0.1199823,-0.108963,-0.0602706,-0.0820877,-0.0552381,-0.1199866,0.0704749,0.1827777,0.150768,0.0938044,0.0886487,0.0882015,0.0234259,0.0036481,0.3228883,0.4078639,0.3548748,0.4204699,0.4771284
170,"COL","Colombia",-0.4586289,-0.2344777,-0.321533,-0.41275,-0.1526648,-0.1821401,-0.1780718,-0.1666891,-0.0468053,-0.0287408,-0.2459242,-0.0592384,0.0388793,0.022952,0.0713581,-0.1005563,-0.0361266,0.0154443,-0.0738818,-0.0852262
174,"COM","Comoros",-1.662423,-1.581981,-1.188423,-0.8046831,-1.278985,-1.542946,-1.601033,-1.677348,-1.757584,-1.775537,-1.769843,-1.743063,-1.760505,-1.550861,-1.589367,-1.67404,-1.522007,-1.552775,-1.566743,-1.639134
184,"COK","Cook Islands",NA,NA,0.1196443,-0.0110881,-0.2126729,-0.379427,0.9232338,0.6099446,0.7285443,NA,-0.9838497,-1.011447,-0.9730711,-0.9988101,-0.9940472,NA,NA,NA,NA,NA
188,"CRI","Costa Rica",0.4684307,0.3377902,0.2842943,0.3515086,0.2521123,0.2117213,0.1561034,0.0490957,0.2012671,0.2776813,0.3313352,0.3081369,0.338154,0.5001248,0.4823061,0.3965975,0.3756126,0.355468,0.2485956,0.3781868
384,"CIV","Cote d'Ivoire",-0.2609782,-0.2291867,-0.8187943,-0.8806713,-0.9832975,-1.255008,-1.323396,-1.163073,-1.209597,-1.243004,-1.108912,-1.285643,-1.155031,-1.098414,-0.9257876,-0.833844,-0.6855241,-0.6731305,-0.7580353,-0.5705186
191,"HRV","Croatia",0.102206,0.0742144,0.3321905,0.3530358,0.3699,0.4415614,0.4607839,0.5713952,0.4742114,0.5699982,0.5968499,0.6223207,0.5612522,0.7066917,0.7011864,0.6929633,0.5138493,0.4942868,0.5713063,0.4569183
192,"CUB","Cuba",-0.9081128,-0.4960119,-0.3633026,-0.5522521,-0.3144865,-0.4510439,-0.5437028,-0.2430956,-0.2008853,-0.379952,-0.36246,-0.3614289,-0.3753886,-0.4049135,-0.4397751,-0.0467849,0.021765,-0.1049787,-0.181841,-0.2448378
531,"CUW","Curacao",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
196,"CYP","Cyprus",1.171664,1.249063,1.130084,1.350596,1.183419,1.127475,1.157761,1.267324,1.427616,1.532571,1.418329,1.53183,1.563668,1.391172,1.366624,1.140384,1.04862,0.9609431,0.9199778,0.9209022
203,"CZE","Czech Republic",0.620583,0.6289971,0.649403,0.968913,0.8982299,0.864375,0.9252368,1.09646,0.8953341,1.013642,0.8832404,0.9052177,0.9309797,0.9289219,0.89182,1.017593,1.046509,1.036739,1.005325,0.9222081
180,"COD","Dem. Rep. Congo",-1.649998,-1.878147,-1.884151,-1.692212,-1.528456,-1.448674,-1.5719,-1.619065,-1.745683,-1.665454,-1.693531,-1.735644,-1.679297,-1.654935,-1.47771,-1.56138,-1.629201,-1.510932,-1.63523,-1.554787
208,"DNK","Denmark",1.759048,1.982808,1.980277,2.088286,2.154386,2.309707,2.119752,2.22626,2.353998,2.251272,2.232205,2.09679,2.101079,1.984567,1.992455,1.819007,1.847929,1.876054,1.796943,1.871631
262,"DJI","Djibouti",-0.8933079,-1.028416,-1.034472,-0.8046831,-0.6645386,-0.5863041,-0.8036719,-0.8778276,-0.8562298,-0.8666221,-0.8913776,-0.9720984,-0.9478842,-1.063123,-0.9622945,-0.9743846,-0.9543255,-0.9739625,-1.031035,-0.8990966
212,"DMA","Dominica",0.6449225,0.2491655,0.4698392,0.5200747,0.3591074,0.2266096,0.4908443,0.4475069,0.4818252,0.5415921,0.6271887,0.6499092,0.6036413,0.6611227,0.7081782,0.0763086,0.1173119,0.054379,-0.253772,-0.2895034
214,"DOM","Dominican Republic",-0.2232384,-0.520857,-0.3161646,-0.3928855,-0.5437886,-0.680542,-0.5511778,-0.5851245,-0.6747107,-0.6196099,-0.6126065,-0.6435439,-0.5907013,-0.5102426,-0.4675454,-0.4352699,-0.3573123,-0.2637113,-0.3700335,-0.4002573
218,"ECU","Ecuador",-0.4753117,-0.5137048,-0.7659045,-0.8350485,-0.8575776,-0.9080252,-0.9469087,-0.996869,-0.8693714,-0.8649213,-0.7942843,-0.7165983,-0.5814193,-0.5048822,-0.501632,-0.4729435,-0.4423296,-0.430313,-0.3218437,-0.2613976
818,"EGY","Egypt",-0.4736761,-0.2306922,-0.217753,-0.4060136,-0.3366209,-0.2658089,-0.4151942,-0.5064402,-0.3891287,-0.3658952,-0.2795061,-0.3705819,-0.5683784,-0.8084975,-0.8773995,-0.8226774,-0.7694843,-0.6595458,-0.6196748,-0.5848041
222,"SLV","El Salvador",-0.6915003,-0.4994905,-0.5281712,-0.5032105,-0.3509711,-0.3417682,-0.3816304,-0.1524331,-0.2015099,-0.1620378,-0.0448861,0.007418,-0.1028972,-0.1271779,-0.1152254,-0.0327334,-0.2355875,-0.2850141,-0.3649472,-0.4471425
226,"GNQ","Equatorial Guinea",-0.9584045,-1.432364,-1.514752,-1.338886,-1.242262,-1.44303,-1.434867,-1.584831,-1.666088,-1.667329,-1.696883,-1.679618,-1.633306,-1.606107,-1.541717,-1.504543,-1.417851,-1.407993,-1.438183,-1.29438
232,"ERI","Eritrea",-1.14968,-0.8696162,-0.9765844,-0.7406211,-0.8930053,-1.003851,-0.9355375,-1.300268,-1.290115,-1.299435,-1.365197,-1.357186,-1.411577,-1.447658,-1.519718,-1.607063,-1.593261,-1.696104,-1.720969,-1.727732
233,"EST","Estonia",0.6115038,0.5744918,0.7378457,0.7357646,0.9419677,0.924236,0.9649968,1.157151,1.037318,1.161841,1.009114,1.085701,1.076737,0.954538,0.9747753,1.01668,1.067978,1.090857,1.109357,1.191938
748,"SWZ","Eswatini",-0.6369361,-0.5934647,-0.6597168,-0.520105,-0.7287802,-1.008033,-1.053804,-0.7878064,-0.8257297,-0.745842,-0.7245805,-0.5382388,-0.6832258,-0.532473,-0.4481933,-0.5629535,-0.5623584,-0.5783857,-0.540933,-0.6599468
231,"ETH","Ethiopia",-1.207594,-0.923562,-0.903667,-0.9049703,-0.882255,-0.7859753,-0.9171304,-0.6600141,-0.4384569,-0.3967329,-0.4968872,-0.4322301,-0.4841617,-0.4252695,-0.6069971,-0.4244817,-0.6467084,-0.6383561,-0.697957,-0.6074697
234,"FRO","Faeroe Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
238,"FLK","Falkland Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
242,"FJI","Fiji",-0.1241927,-0.2641799,-0.4591801,0.1415984,-0.1133136,-0.3909178,-0.0797787,-0.0913989,-0.4322089,-0.7335429,-0.9101737,-0.7242388,-0.7062007,-0.8380063,-0.8434518,-0.3677711,-0.2912866,-0.2488133,0.0923093,0.2595362
246,"FIN","Finland",1.724996,2.022946,2.118074,2.161537,2.261099,2.169805,2.129372,2.170114,1.974782,2.050841,2.229059,2.22934,2.241138,2.220478,2.174288,1.998276,1.813011,1.828908,1.936857,1.984208
250,"FRA","France",1.251857,1.513518,1.71177,1.602407,1.714666,1.776973,1.671527,1.632802,1.471042,1.582908,1.480974,1.430301,1.359144,1.340279,1.481829,1.40317,1.436796,1.405252,1.35209,1.480526
258,"PYF","French Polynesia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
266,"GAB","Gabon",-0.199152,-0.5207986,-0.5712403,-0.3423977,-0.4415162,-0.783031,-0.8147785,-0.7829701,-0.7906118,-0.8182434,-0.7436082,-0.7721487,-0.7950383,-0.9048195,-0.8308429,-0.6441652,-0.7336026,-0.7920632,-0.9252539,-0.8122834
270,"GMB","Gambia",-0.6190829,-0.4515572,-0.4721247,-0.6341123,-0.4785899,-0.5508382,-0.7155911,-0.6751559,-0.5743247,-0.72435,-0.6718888,-0.6788139,-0.6078252,-0.5124295,-0.7053789,-0.6698945,-0.9034832,-0.8419433,-0.6465018,-0.6234712
268,"GEO","Georgia",-0.6369361,-0.5798628,-0.6483843,-0.7959847,-0.3994781,-0.5374144,-0.4339972,-0.2444875,0.1105726,0.2967184,0.2873248,0.3092597,0.5536639,0.6058381,0.5852123,0.4891872,0.40453,0.5182481,0.5819526,0.6145709
276,"DEU","Germany",1.724677,1.881973,1.885063,1.719772,1.41907,1.487871,1.505681,1.650243,1.637844,1.522836,1.578987,1.571172,1.554961,1.593369,1.54252,1.731392,1.73683,1.734568,1.719291,1.619633
288,"GHA","Ghana",-0.1199338,-0.1173347,0.0685982,-0.0977649,-0.1973791,-0.2004661,-0.1873818,0.1603275,0.1288427,0.0327254,-0.0453508,-0.0378857,-0.0504538,-0.0485327,-0.0983737,-0.2808576,-0.2221627,-0.168311,-0.1091871,-0.2102704
300,"GRC","Greece",0.8375552,0.7780467,0.6252663,0.8249017,0.7612695,0.8052155,0.715305,0.636948,0.5579451,0.5852923,0.6194866,0.5560393,0.5121977,0.3198002,0.4592025,0.3985864,0.256061,0.2266778,0.3133734,0.3382609
304,"GRL","Greenland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.029812,1.017366,1.006678,1.002492,0.94366,0.9203522,0.86779,0.8428827,0.8383756,0.8380827
308,"GRD","Grenada",0.6449225,0.4084495,0.4102467,0.4349662,0.3027306,0.1869617,0.3275459,0.307549,0.2349972,0.1900765,0.2131738,0.1759729,0.2278576,0.2673911,0.2272472,-0.1086727,-0.1962674,-0.1750165,-0.1754551,-0.2529525
320,"GTM","Guatemala",-0.454697,-0.4172236,-0.5082635,-0.4976255,-0.4888726,-0.7010107,-0.7204829,-0.6051489,-0.5503302,-0.5634344,-0.714392,-0.697995,-0.69787,-0.7554433,-0.7031401,-0.7288904,-0.7110427,-0.6063933,-0.6404786,-0.6820061
831,"GGY","Guernsey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
324,"GIN","Guinea",-1.169293,-0.781582,-0.813997,-0.9132544,-0.710053,-0.8733571,-1.047564,-1.296292,-1.247959,-1.17083,-1.022252,-1.108981,-1.123202,-1.268741,-1.17368,-1.232363,-1.14559,-1.00586,-1.03849,-0.9709232
624,"GNB","Guinea-Bissau",-1.409645,-1.263284,-1.007202,-1.089014,-1.224998,-1.455491,-1.360628,-1.102396,-1.081759,-1.041658,-1.029427,-1.029506,-1.028708,-1.230398,-1.43311,-1.583007,-1.61309,-1.642998,-1.76677,-1.48785
328,"GUY","Guyana",-0.3787304,-0.0472077,-0.186071,-0.2531132,-0.1245092,-0.1566955,-0.5074329,-0.2981161,-0.0381355,-0.188868,-0.1795437,-0.1062271,-0.0817649,-0.1147759,-0.1158667,-0.232317,-0.335485,-0.3015243,-0.2910191,-0.2694839
332,"HTI","Haiti",-0.9984455,-1.221441,-1.36267,-1.545026,-1.521626,-1.65942,-1.334532,-1.278498,-1.304207,-1.293409,-1.490064,-1.629203,-1.673318,-1.645002,-1.576287,-2.041475,-2.016291,-2.078492,-2.069752,-1.909054
336,"VAT","Holy See",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
340,"HND","Honduras",-0.7439151,-0.5477311,-0.5240234,-0.590724,-0.6418155,-0.6241323,-0.67127,-0.6452383,-0.5486689,-0.6170768,-0.6754177,-0.6416873,-0.5353841,-0.69826,-0.7286451,-0.8099896,-0.821569,-0.7263504,-0.508081,-0.6206585
344,"HKG","Hong Kong",1.036225,1.147523,1.326269,1.386807,1.653428,1.756831,1.614587,1.914575,1.870795,1.856298,1.741184,1.680705,1.650769,1.834667,1.745883,1.832903,1.909176,1.842144,1.902399,1.903607
348,"HUN","Hungary",0.8632687,0.9870427,0.9825234,1.050705,0.9579552,0.8630024,0.7717035,0.8729004,0.7084755,0.707319,0.6731957,0.6666696,0.6749275,0.6288418,0.6549682,0.5334437,0.497252,0.4643016,0.5221342,0.4873109
352,"ISL","Iceland",1.860767,1.914617,2.030386,2.020225,2.106059,2.074324,1.973407,1.893597,1.795479,1.83181,1.635219,1.585732,1.58326,1.491028,1.490049,1.4914,1.492079,1.385732,1.450544,1.465655
356,"IND","India",-0.1116067,-0.064976,-0.1337757,-0.1207639,-0.0884409,-0.1573192,-0.1055001,-0.0983199,0.1219054,-0.0191939,-0.0124214,0.0259907,0.0059622,-0.1709511,-0.1715367,-0.2056473,0.0903423,0.0751832,0.0898925,0.2830485
360,"IDN","Indonesia",-0.7053357,-0.608823,-0.2922786,-0.4142109,-0.4644641,-0.4153518,-0.4831279,-0.3315875,-0.2771957,-0.2372018,-0.2981317,-0.2143052,-0.2594242,-0.2729108,-0.1987486,-0.037205,-0.2406215,0.0076385,0.0408512,0.1798754
364,"IRN","Iran",-0.6000683,-0.481518,-0.4916176,-0.5403184,-0.4676722,-0.4430333,-0.6156749,-0.5267531,-0.6080332,-0.6364359,-0.5548491,-0.478802,-0.4329986,-0.5258462,-0.6768538,-0.4269208,-0.2089159,-0.1914144,-0.1974445,-0.4302173
368,"IRQ","Iraq",-2.088645,-1.948204,-1.977284,-1.94748,-1.701213,-1.592726,-1.629893,-1.718666,-1.568267,-1.235706,-1.182666,-1.19709,-1.130675,-1.108618,-1.096113,-1.111157,-1.246434,-1.26753,-1.263284,-1.320548
372,"IRL","Ireland",1.67032,1.804321,1.665905,1.630157,1.559119,1.540083,1.735597,1.536329,1.560755,1.500238,1.33617,1.349588,1.455905,1.547128,1.485336,1.597105,1.533082,1.331621,1.290977,1.420338
833,"IMN","Isle of Man",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
376,"ISR","Israel",0.7741725,1.089912,1.109834,1.08279,1.20012,1.262236,1.04385,1.253453,1.237051,1.334131,1.275444,1.391521,1.342522,1.277025,1.249336,1.210812,1.387783,1.345488,1.385686,1.208207
380,"ITA","Italy",0.8403255,0.8726358,0.7656862,0.8018304,0.8015524,0.6471076,0.5618377,0.3647408,0.1976259,0.2796266,0.421652,0.4419097,0.3775406,0.4206704,0.4584835,0.374144,0.4479527,0.5347704,0.5021274,0.4138835
388,"JAM","Jamaica",0.139938,0.1903147,0.0628668,0.0198921,0.0507987,0.1687744,-0.1152491,0.2259186,0.2753228,0.2599991,0.2073482,0.2153889,0.2233723,0.0113846,0.042099,0.1374489,0.2486221,0.4122043,0.4850518,0.4967112
392,"JPN","Japan",0.9102908,1.065328,1.199341,1.068673,1.217828,1.36378,1.290751,1.589435,1.447718,1.460432,1.454036,1.527669,1.47267,1.415637,1.618066,1.812485,1.784521,1.822038,1.617136,1.675817
832,"JEY","Jersey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.455383,1.451157,1.379388,1.353383,1.299609,1.268917,1.262699,1.259951
400,"JOR","Jordan",-0.0329143,0.0477654,-0.0157826,0.1065834,0.2128709,0.0609842,0.0282044,0.2025136,0.2266261,0.2286688,0.2358158,0.1036845,0.0882191,-0.0112745,-0.0489184,0.116841,0.122487,0.1337902,0.1090764,0.112718
398,"KAZ","Kazakhstan",-0.9584045,-0.79884,-0.6947175,-0.9299887,-0.6258659,-0.6541258,-0.6191217,-0.4263095,-0.5798957,-0.4615707,-0.3915207,-0.4361029,-0.4098386,-0.4402449,-0.5327777,-0.0426869,-0.0733154,-0.0670453,0.0061337,0.0217204
404,"KEN","Kenya",-0.5208501,-0.5046508,-0.5308153,-0.6327102,-0.6209576,-0.5918168,-0.7021186,-0.6171426,-0.499506,-0.5901043,-0.6301031,-0.5571087,-0.5665606,-0.5232506,-0.4572672,-0.333344,-0.3012509,-0.324938,-0.3199218,-0.4108523
296,"KIR","Kiribati",NA,-0.5322519,-0.1675885,-0.2195811,-0.7468366,-0.6121379,-0.4735642,-0.4884038,-0.6684599,-0.6963969,-0.7840247,-0.8504627,-0.776412,-0.7958969,-0.769707,-0.5606934,-0.4898249,-0.4338206,-0.2459837,-0.2764392
689,"XKX","Kosovo",NA,NA,NA,NA,NA,NA,NA,-0.3290551,-0.1965057,-0.4858627,-0.4121116,-0.5835603,-0.4634844,-0.3523751,-0.3794922,-0.3152198,-0.4096911,-0.4173082,-0.3976941,-0.4283053
