"code","iso","country","RMS.raw.2014"
158,"TWN","Taiwan",0.00710760722410751
762,"TJK","Tajikistan",NA
834,"TZA","Tanzania",0.0105814751406137
764,"THA","Thailand",0.00309734336362653
626,"TLS","Timor-Leste",0.00170620479091004
768,"TGO","Togo",0.0116832681646932
776,"TON","Tonga",7.59172896312925e-05
780,"TTO","Trinidad and Tobago",0.00549967386144434
788,"TUN","Tunisia",0.0107490299994323
792,"TUR","Turkey",0.00356550795540202
795,"TKM","Turkmenistan",NA
796,"TCA","Turks and Caicos Islands",NA
798,"TUV","Tuvalu",0.0258510355334699
800,"UGA","Uganda",NA
804,"UKR","Ukraine",0.00450446391887695
784,"ARE","United Arab Emirates",0.00729151966547946
826,"GBR","United Kingdom",NA
840,"USA","United States of America",NA
858,"URY","Uruguay",0.0203073877841702
860,"UZB","Uzbekistan",NA
548,"VUT","Vanuatu",0.0115893630388221
862,"VEN","Venezuela",0.00464956022397241
704,"VNM","Viet Nam",0.0233444156975298
876,"WLF","Wallis and Futuna Islands",NA
732,"ESH","Western Sahara",NA
887,"YEM","Yemen",0.00674953141680719
894,"ZMB","Zambia",NA
716,"ZWE","Zimbabwe",NA
