"code","iso","country","OZD.raw.1990","OZD.raw.1991","OZD.raw.1992","OZD.raw.1993","OZD.raw.1994","OZD.raw.1995","OZD.raw.1996","OZD.raw.1997","OZD.raw.1998","OZD.raw.1999","OZD.raw.2000","OZD.raw.2001","OZD.raw.2002","OZD.raw.2003","OZD.raw.2004","OZD.raw.2005","OZD.raw.2006","OZD.raw.2007","OZD.raw.2008","OZD.raw.2009","OZD.raw.2010","OZD.raw.2011","OZD.raw.2012","OZD.raw.2013","OZD.raw.2014","OZD.raw.2015","OZD.raw.2016","OZD.raw.2017","OZD.raw.2018","OZD.raw.2019"
250,"FRA","France",20.8143,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.8402,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.2038,NA,NA,NA,NA,10.0645,NA,NA,NA,9.05
258,"PYF","French Polynesia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
266,"GAB","Gabon",4.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.62,NA,NA,NA,NA,10.9217,NA,NA,NA,14.675
270,"GMB","Gambia",18.6067,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.7191,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.5636,NA,NA,NA,NA,31.4775,NA,NA,NA,36.8948
268,"GEO","Georgia",21.7783,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.295,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.3744,NA,NA,NA,NA,25.4786,NA,NA,NA,29.0443
276,"DEU","Germany",17.6156,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.3182,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.4907,NA,NA,NA,NA,19.7561,NA,NA,NA,17.5239
288,"GHA","Ghana",20.4427,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.4987,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.2651,NA,NA,NA,NA,40.0572,NA,NA,NA,46.479
300,"GRC","Greece",23.4806,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.1198,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.1184,NA,NA,NA,NA,23.1935,NA,NA,NA,20.7856
304,"GRL","Greenland",54.6652,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.2978,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.8445,NA,NA,NA,NA,37.2878,NA,NA,NA,28.4535
308,"GRD","Grenada",6.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.46,NA,NA,NA,NA,3.09,NA,NA,NA,2.61
320,"GTM","Guatemala",16.6897,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.1981,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.95,NA,NA,NA,NA,6.88,NA,NA,NA,8.43
831,"GGY","Guernsey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
324,"GIN","Guinea",19.937,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.6668,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.9384,NA,NA,NA,NA,38.3811,NA,NA,NA,44.4911
624,"GNB","Guinea-Bissau",23.9784,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.8187,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.7932,NA,NA,NA,NA,43.6613,NA,NA,NA,46.5996
328,"GUY","Guyana",0.616,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.717,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.851,NA,NA,NA,NA,0.808,NA,NA,NA,0.701
332,"HTI","Haiti",45.6285,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.4611,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.1833,NA,NA,NA,NA,28.5452,NA,NA,NA,29.6363
336,"VAT","Holy See",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
340,"HND","Honduras",28.0834,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.0094,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.8778,NA,NA,NA,NA,25.7836,NA,NA,NA,32.2989
344,"HKG","Hong Kong",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
348,"HUN","Hungary",57.529,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.1613,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.0936,NA,NA,NA,NA,42.2339,NA,NA,NA,36.5282
352,"ISL","Iceland",5.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.29,NA,NA,NA,NA,7.36,NA,NA,NA,7.14
356,"IND","India",246.2606,NA,NA,NA,NA,NA,NA,NA,NA,NA,276.0636,NA,NA,NA,NA,NA,NA,NA,NA,NA,240.3616,NA,NA,NA,NA,279.4739,NA,NA,NA,293.9322
360,"IDN","Indonesia",9.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.2051,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.3757,NA,NA,NA,NA,38.2111,NA,NA,NA,35.5427
364,"IRN","Iran",47.5698,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.6555,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.7419,NA,NA,NA,NA,45.7775,NA,NA,NA,45.9501
368,"IRQ","Iraq",29.5078,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.1307,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.3208,NA,NA,NA,NA,24.1145,NA,NA,NA,25.1405
372,"IRL","Ireland",26.7633,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.8277,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.25,NA,NA,NA,NA,3.71,NA,NA,NA,2.66
833,"IMN","Isle of Man",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
376,"ISR","Israel",45.9835,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.7377,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.5913,NA,NA,NA,NA,25.3032,NA,NA,NA,23.4335
380,"ITA","Italy",44.6692,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.1312,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.2944,NA,NA,NA,NA,21.2974,NA,NA,NA,23.558
388,"JAM","Jamaica",17.6515,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.0524,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.4601,NA,NA,NA,NA,13.7234,NA,NA,NA,14.6246
392,"JPN","Japan",8.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.432,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.9,NA,NA,NA,NA,9.29,NA,NA,NA,7.98
832,"JEY","Jersey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
400,"JOR","Jordan",57.6493,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.2678,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.3429,NA,NA,NA,NA,24.9741,NA,NA,NA,24.6666
398,"KAZ","Kazakhstan",83.7003,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.135,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.7018,NA,NA,NA,NA,65.6133,NA,NA,NA,69.9701
404,"KEN","Kenya",5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.41,NA,NA,NA,NA,20.3327,NA,NA,NA,26.4072
296,"KIR","Kiribati",31.4042,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.762,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.2319,NA,NA,NA,NA,53.4882,NA,NA,NA,61.9797
689,"XKX","Kosovo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
414,"KWT","Kuwait",21.8797,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.2535,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.3554,NA,NA,NA,NA,18.7895,NA,NA,NA,19.9504
417,"KGZ","Kyrgyzstan",215.6984,NA,NA,NA,NA,NA,NA,NA,NA,NA,206.0887,NA,NA,NA,NA,NA,NA,NA,NA,NA,106.9666,NA,NA,NA,NA,79.3685,NA,NA,NA,82.8569
418,"LAO","Laos",35.2383,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.2258,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.4526,NA,NA,NA,NA,57.7102,NA,NA,NA,55.8021
428,"LVA","Latvia",9.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.72,NA,NA,NA,NA,6.29,NA,NA,NA,4.62
422,"LBN","Lebanon",43.7279,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.2475,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.3255,NA,NA,NA,NA,31.0411,NA,NA,NA,27.0739
426,"LSO","Lesotho",38.9416,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.7439,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.384,NA,NA,NA,NA,68.4778,NA,NA,NA,83.5723
430,"LBR","Liberia",3.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.7,NA,NA,NA,NA,17.2386,NA,NA,NA,18.2322
434,"LBY","Libya",30.1224,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.4756,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.1443,NA,NA,NA,NA,32.8138,NA,NA,NA,36.6278
438,"LIE","Liechtenstein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
440,"LTU","Lithuania",22.1523,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.8895,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.44,NA,NA,NA,NA,7.21,NA,NA,NA,4.43
442,"LUX","Luxembourg",20.6197,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.4103,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.8116,NA,NA,NA,NA,15.987,NA,NA,NA,15.8034
446,"MAC","Macao",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
450,"MDG","Madagascar",3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.22,NA,NA,NA,NA,15.8657,NA,NA,NA,23.1744
454,"MWI","Malawi",8.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.8798,NA,NA,NA,NA,16.1824,NA,NA,NA,20.6699
458,"MYS","Malaysia",16.2148,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.5044,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.6601,NA,NA,NA,NA,23.4279,NA,NA,NA,25.1075
462,"MDV","Maldives",40.5571,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.6633,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.8567,NA,NA,NA,NA,49.9452,NA,NA,NA,61.0988
